"Opérations de long terme"
"En millions de dirhams
"
"Date d'opération";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
18/03/2025;20/03/2025;24/04/2025;"Prêt garanti";"10 870,00";"4 787,00";"2,25 %"
18/03/2025;20/03/2025;24/04/2025;"Pension livrée";"57 250,00";"25 213,00";"2,25 %"
18/03/2025;20/03/2025;26/06/2025;"Pension livrée";"55 540,00";"24 557,00";"2,25 %"
18/03/2025;20/03/2025;26/06/2025;"Prêt garanti";"12 310,00";"5 443,00";"2,25 %"
18/02/2025;20/02/2025;20/03/2025;"Prêt garanti";"11 960,00";"5 172,00";"2,50 %"
18/02/2025;20/02/2025;20/03/2025;"Pension livrée";"57 410,00";"24 828,00";"2,50 %"
21/01/2025;23/01/2025;20/02/2025;"Prêt garanti";"1 660,00";914,00;"2,50 %"
21/01/2025;23/01/2025;20/02/2025;"Pension livrée";"52 820,00";"29 086,00";"2,50 %"
20/01/2025;23/01/2025;22/01/2026;"Prêt garanti";"2 540,00";"2 540,00";"2,50 %"
20/01/2025;23/01/2025;22/01/2026;"Prêt garanti";59,00;59,00;"1,25 %"
20/01/2025;23/01/2025;24/04/2025;"Prêt garanti";170,00;170,00;"2,50 %"
17/12/2024;19/12/2024;23/01/2025;"Prêt garanti";"4 960,00";"2 544,00";"2,50 %"
17/12/2024;19/12/2024;23/01/2025;"Pension livrée";"53 520,00";"27 456,00";"2,50 %"
17/12/2024;19/12/2024;20/03/2025;"Pension livrée";"56 810,00";"22 189,00";"2,50 %"
17/12/2024;19/12/2024;20/03/2025;"Prêt garanti";"20 000,00";"7 811,00";"2,50 %"
19/11/2024;21/11/2024;19/12/2024;"Prêt garanti";"13 820,00";"6 221,00";"2,75 %"
19/11/2024;21/11/2024;19/12/2024;"Pension livrée";"52 830,00";"23 779,00";"2,75 %"
22/10/2024;24/10/2024;21/11/2024;"Prêt garanti";"13 860,00";"6 396,00";"2,75 %"
22/10/2024;24/10/2024;21/10/2024;"Pension livrée";"51 150,00";"23 604,00";"2,75 %"
21/10/2024;24/10/2024;23/10/2025;"Prêt garanti";"5 070,00";"5 070,00";"2,75 %"
21/10/2024;24/10/2024;23/10/2025;"Prêt garanti";"1 201,00";"1 201,00";"1,25 %"
21/10/2024;24/10/2024;23/10/2025;"Prêt garanti";"1 105,00";"1 105,00";"2,75 %"
21/10/2024;24/10/2024;23/01/2025;"Prêt garanti";177,00;177,00;"2,75 %"
21/10/2024;19/12/2024;23/10/2025;"Prêt garanti – Remboursement anticipé";90,00;90,00;"2,75 %"
21/10/2024;16/01/2025;23/10/2025;"Prêt garanti – Remboursement anticipé";180,00;180,00;"2,75 %"
21/10/2024;23/01/2025;24/10/2025;"Prêt garanti – Remboursement anticipé";113,00;113,00;"1,25 %"
24/09/2024;26/09/2024;24/10/2024;"Prêt garanti";"12 010,00";"6 201,00";"2,75 %"
24/09/2024;26/09/2024;24/10/2024;"Pension livrée";"46 090,00";"23 799,00";"2,75 %"
24/09/2024;26/09/2024;19/12/2024;"Pension livrée";"55 440,00";"28 146,00";"2,75 %"
24/09/2024;26/09/2024;19/12/2024;"Prêt garanti";"13 500,00";"6 854,00";"2,75 %"
27/08/2024;29/08/2024;26/09/2024;"Prêt garanti";"12 530,00";"5 506,00";"2,75 %"
27/08/2024;29/08/2024;26/09/2024;"Pension livrée";"55 740,00";"24 494,00";"2,75 %"
23/07/2024;25/07/2024;29/08/2024;"Prêt garanti";"10 333,00";"4 560,00";"2,75 %"
23/07/2024;25/07/2024;29/08/2024;"Pension livrée";"57 640,00";"25 440,00";"2,75 %"
22/07/2024;25/07/2024;24/07/2025;"Prêt garanti";268,00;268,00;"1,25 %"
22/07/2024;25/07/2024;24/07/2025;"Prêt garanti";"4 487,00";"4 487,00";"2,75 %"
22/07/2024;24/10/2024;24/07/2025;"Prêt garanti – Remboursement anticipé";13,00;13,00;"1,25 %"
25/06/2024;27/06/2024;26/09/2024;"Prêt garanti";"12 540,00";"6 054,00";"2,75 %"
25/06/2024;27/06/2024;26/09/2024;"Pension livrée";"49 600,00";"23 946,00";"2,75 %"
25/06/2024;27/06/2024;25/07/2024;"Pension livrée";"47 970,00";"29 194,00";"2,75 %"
25/06/2024;27/06/2024;25/07/2024;"Prêt garanti";"1 325,00";806,00;"2,75 %"
21/05/2024;23/05/2024;27/06/2024;"Prêt garanti";"3 410,00";"1 973,00";"3,00 %"
21/05/2024;23/05/2024;27/06/2024;"Pension livrée";"48 430,00";"28 027,00";"3,00 %"
23/04/2024;25/04/2024;23/05/2024;"Prêt garanti";"2 390,00";"1 395,00";"3,00 %"
23/04/2024;25/04/2024;23/05/2024;"Pension livrée";"49 000,00";"28 605,00";"3,00 %"
22/04/2024;25/04/2024;24/04/2025;"Prêt garanti";"6 890,00";"6 890,00";"3,00 %"
22/04/2024;25/04/2024;24/04/2025;"Prêt garanti";200,00;200,00;"3,00 %"
22/04/2024;25/04/2024;24/04/2025;"Prêt garanti";243,00;243,00;"1,25 %"
22/04/2024;25/07/2024;24/07/2025;"Prêt garanti – Remboursement anticipé";89,00;89,00;"1,25 %"
19/03/2024;21/03/2024;25/04/2024;"Prêt garanti";"4 830,00";"2 646,00";"3,00 %"
19/03/2024;21/03/2024;25/04/2024;"Pension livrée";"49 930,00";"27 354,00";"3,00 %"
19/03/2024;21/03/2024;27/06/2024;"Pension livrée";"47 200,00";"23 202,00";"3,00 %"
19/03/2024;21/03/2024;27/06/2024;"Prêt garanti";"13 830,00";"6 798,00";"3,00 %"
20/02/2024;22/02/2024;21/03/2024;"Pension livrée";"51 480,00";"29 368,00";"3,00 %"
20/02/2024;22/02/2024;21/03/2024;"Prêt garanti";"1 108,00";632,00;"3,00 %"
23/01/2024;25/01/2024;23/01/2025;"Prêt garanti";22,00;22,00;"1,25 %"
22/01/2024;25/01/2024;23/01/2025;"Prêt garanti";61,00;61,00;"1,25 %"
22/01/2024;25/01/2024;23/01/2025;"Prêt garanti";"4 400,00";"4 400,00";"3,00 %"
22/01/2024;25/01/2024;23/01/2025;"Prêt garanti";"4 400,00";"4 400,00";"3,00 %"
22/01/2024;25/01/2024;23/01/2025;"Prêt garanti";"4 400,00";"4 400,00";"3,00 %"
16/01/2024;18/01/2024;22/02/2024;"Pension livrée";"51 240,00";"24 675,00";"3,00 %"
16/01/2024;18/01/2024;22/02/2024;"Prêt garanti";675,00;325,00;"3,00 %"
19/12/2023;21/12/2023;18/01/2024;"Pension livrée";"46 920,00";"18 672,00";"3,00 %"
19/12/2023;21/12/2023;18/01/2024;"Prêt garanti";"3 338,00";"1 328,00";"3,00 %"
19/12/2023;21/12/2023;21/03/2024;"Pension livrée";"54 110,00";"23 519,00";"3,00 %"
19/12/2023;21/12/2023;21/03/2024;"Prêt garanti";"14 910,00";"6 481,00";"3,00 %"
21/11/2023;23/11/2023;21/12/2023;"Pension livrée";"47 620,00";"19 593,00";"3,00 %"
21/11/2023;23/11/2023;21/12/2023;"Prêt garanti";988,00;407,00;"3,00 %"
24/10/2023;26/10/2023;23/11/2023;"Pension livrée";"44 730,00";"19 756,00";"3,00 %"
24/10/2023;26/10/2023;23/11/2023;"Prêt garanti";552,00;244,00;"3,00 %"
23/10/2023;26/10/2023;24/10/2024;"Prêt garanti";"4 650,00";"4 650,00";"3,00 %"
23/10/2023;26/10/2023;24/10/2024;"Prêt garanti";"1 200,00";"1 200,00";"3,00 %"
23/10/2023;26/10/2023;24/10/2024;"Prêt garanti";"1 466,00";"1 466,00";"1,25 %"
23/10/2023;26/10/2023;24/10/2024;"Prêt garanti";"1 466,00";"1 466,00";"1,25 %"
23/10/2023;26/10/2023;24/10/2024;"Prêt garanti";"1 466,00";"1 466,00";"1,25 %"
23/10/2023;25/01/2024;24/10/2024;"Prêt garanti – Remboursement anticipé";0,00;125,00;"1,25 %"
26/09/2023;02/10/2023;21/12/2023;"Pension livrée";"48 430,00";"21 970,00";"3,00 %"
26/09/2023;02/10/2023;21/12/2023;"Prêt garanti";"17 700,00";"8 030,00";"3,00 %"
26/09/2023;02/10/2023;26/10/2023;"Pension livrée";"41 480,00";"17 849,00";"3,00 %"
26/09/2023;02/10/2023;26/10/2023;"Prêt garanti";"4 999,00";"2 151,00";"3,00 %"
22/08/2023;24/08/2023;02/10/2023;"Pension livrée";"46 430,00";"17 802,00";"3,00 %"
22/08/2023;24/08/2023;02/10/2023;"Prêt garanti";"5 734,00";"2 198,00";"3,00 %"
24/07/2023;27/07/2023;25/07/2024;"Prêt garanti";25,00;25,00;"1,25 %"
24/07/2023;27/07/2023;25/07/2024;"Prêt garanti";"5 380,00";"5 380,00";"3,00 %"
24/07/2023;27/07/2023;25/07/2024;"Prêt garanti";"5 380,00";"5 380,00";"3,00 %"
24/07/2023;27/07/2023;25/07/2024;"Prêt garanti";"5 380,00";"5 380,00";"3,00 %"
18/07/2023;20/07/2023;24/08/2023;"Pension livrée";"51 650,00";"19 762,00";"3,00 %"
18/07/2023;20/07/2023;24/08/2023;"Prêt garanti";622,00;238,00;"3,00 %"
20/06/2023;22/06/2023;20/07/2023;"Pension livrée";"47 530,00";"19 645,00";"3,00 %"
20/06/2023;22/06/2023;20/07/2023;"Prêt garanti";860,00;355,00;"3,00 %"
20/06/2023;22/06/2023;02/10/2023;"Pension livrée";"47 090,00";"23 467,00";"3,00 %"
20/06/2023;22/06/2023;02/10/2023;"Prêt garanti";"13 110,00";"6 533,00";"3,00 %"
23/05/2023;25/05/2023;22/06/2023;"Pension livrée";"47 660,00";"14 704,00";"3,00 %"
23/05/2023;25/05/2023;22/06/2023;"Prêt garanti";960,00;296,00;"3,00 %"
25/04/2023;27/04/2023;25/04/2024;"Prêt garanti";109,00;109,00;"1,25 %"
25/04/2023;27/04/2023;25/05/2023;"Prêt garanti";720,00;222,00;"3,00 %"
25/04/2023;27/04/2023;25/05/2023;"Pension livrée";"31 640,00";"9 778,00";"3,00 %"
25/04/2023;27/04/2023;25/04/2024;"Prêt garanti";"3 800,00";"3 800,00";"3,00 %"
21/03/2023;23/03/2023;27/04/2023;"Pension livrée";"39 850,00";"5 000,00";"3,00 %"
21/03/2023;23/03/2023;22/06/2023;"Pension livrée";"44 950,00";"11 414,00";"3,00 %"
21/03/2023;23/03/2023;22/06/2023;"Prêt garanti";"14 120,00";"3 586,00";"3,00 %"
21/02/2023;23/02/2023;23/03/2023;"Prêt garanti";360,00;107,00;"2,50 %"
21/02/2023;23/02/2023;23/03/2023;"Swap de change";100,00;100,00;"0,00 %"
21/02/2023;23/02/2023;23/03/2023;"Pension livrée";"33 180,00";"9 893,00";"2,50 %"
23/01/2023;26/01/2023;25/01/2024;"Prêt garanti";86,00;86,00;"1,25 %"
23/01/2023;26/01/2023;25/01/2024;"Prêt garanti";"2 410,00";"2 410,00";"2,50 %"
23/01/2023;26/01/2023;25/01/2024;"Prêt garanti";810,00;810,00;"2,50 %"
23/01/2023;26/01/2023;27/04/2023;"Prêt garanti";80,00;80,00;"2,50 %"
23/01/2023;02/03/2023;25/01/2024;"Prêt garanti – Remboursement anticipé";11,00;11,00;"2,50 %"
23/01/2023;16/03/2023;25/01/2024;"Prêt garanti – Remboursement anticipé";380,00;380,00;"2,50 %"
23/01/2023;16/03/2023;27/04/2023;"Prêt garanti – Remboursement anticipé";80,00;80,00;"2,50 %"
17/01/2023;19/01/2023;23/02/2023;"Pension livrée";"31 110,00";"10 000,00";"2,50 %"
17/01/2023;19/01/2023;23/02/2023;"Swap de change";0,00;0,00;"0,00 %"
17/01/2023;19/01/2023;23/02/2023;"Prêt garanti";0,00;0,00;"2,50 %"
20/12/2022;22/12/2022;19/01/2023;"Swap de change";0,00;0,00;"0,00 %"
20/12/2022;22/12/2022;19/01/2023;"Prêt garanti";"6 500,00";"1 987,00";"2,50 %"
20/12/2022;22/12/2022;19/01/2023;"Pension livrée";"26 220,00";"8 013,00";"2,50 %"
20/12/2022;22/12/2022;23/03/2023;"Prêt garanti";"19 320,00";"6 483,00";"2,50 %"
20/12/2022;22/12/2022;23/03/2023;"Pension livrée";"40 280,00";"13 517,00";"2,50 %"
22/11/2022;24/11/2022;22/12/2022;"Pension livrée";"38 780,00";"9 394,00";"2,00 %"
22/11/2022;24/11/2022;22/12/2022;"Prêt garanti";"2 500,00";606,00;"2,00 %"
22/11/2022;24/11/2022;22/12/2022;"Swap de change";0,00;0,00;"0,00 %"
25/10/2022;27/10/2022;24/11/2022;"Swap de change";130,00;130,00;"0,00 %"
25/10/2022;27/10/2022;24/11/2022;"Pension livrée";"35 420,00";"18 262,00";"2,00 %"
25/10/2022;27/10/2022;24/11/2022;"Prêt garanti";"3 370,00";"1 738,00";"2,00 %"
25/10/2022;16/03/2023;26/10/2023;"Prêt garanti – Remboursement anticipé";400,00;400,00;"2,30 %"
24/10/2022;27/10/2022;26/10/2023;"Prêt garanti";"1 673,00";"1 673,00";"1,25 %"
24/10/2022;27/10/2022;26/10/2023;"Prêt garanti";"2 260,00";"2 260,00";"2,00 %"
24/10/2022;27/10/2022;26/10/2023;"Prêt garanti";400,00;400,00;"2,00 %"
24/10/2022;26/01/2023;26/10/2023;"Prêt garanti – Remboursement anticipé";43,00;43,00;"1,25 %"
24/10/2022;02/03/2023;26/10/2023;"Prêt garanti – Remboursement anticipé";279,00;279,00;"2,28 %"
24/10/2022;17/08/2023;26/10/2023;"Prêt garanti – Remboursement anticipé";38,00;38,00;"1,25 %"
27/09/2022;29/09/2022;27/10/2022;"Pension livrée";"21 360,00";"18 186,00";"2,00 %"
27/09/2022;29/09/2022;22/12/2022;"Pension livrée";"30 590,00";"12 688,00";"2,00 %"
27/09/2022;29/09/2022;27/10/2022;"Swap de change";0,00;0,00;"0,00 %"
27/09/2022;29/09/2022;27/10/2022;"Prêt garanti";"2 130,00";"1 814,00";"2,00 %"
27/09/2022;29/09/2022;22/12/2022;"Prêt garanti";"17 630,00";"7 312,00";"2,00 %"
23/08/2022;25/08/2022;29/09/2022;"Pension livrée";"23 090,00";"20 000,00";"1,50 %"
23/08/2022;25/08/2022;29/09/2022;"Prêt garanti";0,00;0,00;"1,50 %"
23/08/2022;25/08/2022;29/09/2022;"Swap de change";0,00;0,00;"0,00 %"
25/07/2022;28/07/2022;27/07/2023;"Prêt garanti";89,00;89,00;"1,25 %"
25/07/2022;28/07/2022;27/07/2023;"Prêt garanti";"5 210,00";"5 210,00";"1,50 %"
25/07/2022;28/07/2022;27/07/2023;"Prêt garanti";"1 060,00";"1 060,00";"1,50 %"
25/07/2022;28/07/2022;27/10/2022;"Prêt garanti";80,00;80,00;"1,50 %"
19/07/2022;21/07/2022;25/08/2022;"Pension livrée";"23 810,00";"18 815,00";"1,50 %"
19/07/2022;21/07/2022;25/08/2022;"Prêt garanti";"1 500,00";"1 185,00";"1,50 %"
21/06/2022;23/06/2022;21/07/2022;"Swap de change";900,00;900,00;"0,00 %"
21/06/2022;23/06/2022;21/07/2022;"Pension livrée";"20 590,00";"17 735,00";"1,50 %"
21/06/2022;23/06/2022;21/07/2022;"Prêt garanti";"2 630,00";"2 265,00";"1,50 %"
21/06/2022;23/06/2022;29/09/2022;"Pension livrée";"27 750,00";"19 817,00";"1,50 %"
21/06/2022;23/06/2022;29/09/2022;"Prêt garanti";"14 260,00";"10 183,00";"1,50 %"
24/05/2022;26/05/2022;23/06/2022;"Prêt garanti";"4 370,00";"3 493,00";"1,50 %"
24/05/2022;26/05/2022;23/06/2022;"Pension livrée";"20 650,00";"16 507,00";"1,50 %"
24/05/2022;26/05/2022;23/06/2022;"Swap de change";250,00;250,00;"0,00 %"
25/04/2022;28/04/2022;20/04/2023;"Prêt garanti";"1 040,00";"1 040,00";"1,50 %"
25/04/2022;28/04/2022;20/04/2023;"Prêt garanti";230,00;230,00;"1,50 %"
25/04/2022;28/04/2022;20/04/2023;"Prêt garanti";88,00;88,00;"1,25 %"
25/04/2022;16/03/2023;20/04/2023;"Prêt garanti – Remboursement anticipé";230,00;230,00;"1,89 %"
19/04/2022;21/04/2022;26/05/2022;"Pension livrée";"25 810,00";"8 572,00";"1,50 %"
19/04/2022;21/04/2022;26/05/2022;"Prêt garanti";"4 300,00";"1 428,00";"1,50 %"
22/03/2022;24/03/2022;21/04/2022;"Pension livrée";"17 110,00";"9 058,00";"1,50 %"
22/03/2022;24/03/2022;23/06/2022;"Pension livrée";"21 680,00";"12 623,00";"1,50 %"
22/03/2022;24/03/2022;21/04/2022;"Prêt garanti";"1 780,00";942,00;"1,50 %"
22/03/2022;24/03/2022;23/06/2022;"Prêt garanti";"12 670,00";"7 377,00";"1,50 %"
21/03/2022;24/03/2022;23/03/2023;"Prêt garanti";720,00;720,00;"1,50 %"
22/02/2022;24/02/2022;24/03/2022;"Prêt garanti";"3 520,00";"1 757,00";"1,50 %"
22/02/2022;24/02/2022;24/03/2022;"Pension livrée";"16 510,00";"8 243,00";"1,50 %"
21/02/2022;24/02/2022;23/02/2023;"Prêt garanti";560,00;560,00;"1,50 %"
24/01/2022;27/01/2022;26/01/2023;"Prêt garanti";112,00;112,00;"1,25 %"
24/01/2022;27/01/2022;26/01/2023;"Prêt garanti";"1 350,00";"1 350,00";"1,50 %"
24/01/2022;27/01/2022;26/01/2023;"Prêt garanti";590,00;590,00;"1,50 %"
24/01/2022;24/02/2022;26/01/2023;"Prêt garanti – Remboursement anticipé";50,00;50,00;"1,50 %"
18/01/2022;20/01/2022;24/02/2022;"Prêt garanti";"1 000,00";582,00;"1,50 %"
18/01/2022;20/01/2022;24/02/2022;"Pension livrée";"16 170,00";"9 418,00";"1,50 %"
21/12/2021;23/12/2021;20/01/2022;"Pension livrée";"19 490,00";"9 512,00";"1,50 %"
21/12/2021;23/12/2021;24/03/2022;"Pension livrée";"18 170,00";"13 234,00";"1,50 %"
21/12/2021;23/12/2021;20/01/2022;"Prêt garanti";"1 000,00";488,00;"1,50 %"
21/12/2021;23/12/2021;24/03/2022;"Prêt garanti";"9 290,00";"6 766,00";"1,50 %"
20/12/2021;23/12/2021;22/12/2022;"Prêt garanti";"2 230,00";"2 230,00";"1,50 %"
23/11/2021;25/11/2021;23/12/2021;"Prêt garanti";"4 360,00";"3 840,00";"1,50 %"
23/11/2021;25/11/2021;23/12/2021;"Pension livrée";"12 670,00";"11 160,00";"1,50 %"
23/11/2021;25/11/2021;23/12/2021;"Swap de change";100,00;100,00;"0,00 %"
22/11/2021;25/11/2021;24/11/2022;"Prêt garanti";320,00;320,00;"1,50 %"
26/10/2021;28/10/2021;25/11/2021;"Pension livrée";"18 710,00";"13 551,00";"1,50 %"
26/10/2021;28/10/2021;25/11/2021;"Prêt garanti";"2 000,00";"1 449,00";"1,50 %"
25/10/2021;28/10/2021;27/10/2022;"Prêt garanti";134,00;134,00;"1,25 %"
25/10/2021;28/10/2021;27/10/2022;"Prêt garanti";300,00;300,00;"1,50 %"
28/09/2021;30/09/2021;28/10/2021;"Prêt garanti";"1 000,00";797,00;"1,50 %"
28/09/2021;30/09/2021;23/12/2021;"Prêt garanti";"13 350,00";"8 449,00";"1,50 %"
28/09/2021;30/09/2021;28/10/2021;"Pension livrée";"17 820,00";"14 203,00";"1,50 %"
28/09/2021;30/09/2021;23/12/2021;"Pension livrée";"18 250,00";"11 551,00";"1,50 %"
20/09/2021;23/09/2021;22/09/2022;"Prêt garanti";350,00;350,00;"1,50 %"
24/08/2021;26/08/2021;30/09/2021;"Pension livrée";"16 790,00";"16 790,00";"1,50 %"
24/08/2021;26/08/2021;30/09/2021;"Prêt garanti";"3 000,00";"3 000,00";"1,50 %"
24/08/2021;26/08/2021;30/09/2021;"Swap de change";"1 000,00";"1 000,00";"0,00 %"
23/08/2021;26/08/2021;25/08/2022;"Prêt garanti";"1 350,00";"1 350,00";"1,50 %"
