"Facilités permanentes"
"En millions de dirhams"
"Date de l'appel d'offres";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
17/01/2024;17/01/2024;18/01/2024;"Avance à 24h";680,00;680,00;"4,00 %"
16/01/2024;16/01/2024;17/01/2024;"Avance à 24h";"1 500,00";"1 500,00";"4,00 %"
16/01/2024;16/01/2024;17/01/2024;"Avance à 24h";"1 500,00";"1 500,00";"4,00 %"
16/01/2024;16/01/2024;17/01/2024;"Avance à 24h";"1 500,00";"1 500,00";"4,00 %"
15/01/2024;15/01/2024;16/01/2024;"Avance à 24h";"2 400,00";"2 400,00";"4,00 %"
15/01/2024;15/01/2024;16/01/2024;"Avance à 24h";"2 400,00";"2 400,00";"4,00 %"
15/01/2024;15/01/2024;16/01/2024;"Avance à 24h";"2 400,00";"2 400,00";"4,00 %"
27/09/2023;27/09/2023;02/10/2023;"Avance à 24h";"3 950,00";"3 950,00";"4,00 %"
09/02/2023;09/02/2023;10/02/2023;"Avance à 24h";580,00;580,00;"3,50 %"
30/01/2023;30/01/2023;31/01/2023;"Avance à 24h";500,00;500,00;"3,50 %"
26/01/2023;26/01/2023;27/01/2023;"Avance à 24h";"3 430,00";"3 430,00";"3,50 %"
26/09/2022;26/09/2022;27/09/2022;"Avance à 24h";150,00;150,00;"2,50 %"
31/03/2022;31/03/2022;01/04/2022;"Avance à 24h";-;-;-
23/03/2022;23/03/2022;24/03/2022;"Avance à 24h";510,00;510,00;"2,50 %"
14/07/2021;14/07/2021;15/07/2021;"Avance à 24h";"5 820,00";"5 820,00";"2,50 %"
13/07/2021;13/07/2021;14/07/2021;"Avance à 24h";"2 050,00";"2 050,00";"2,50 %"
12/07/2021;12/07/2021;13/07/2021;"Avance à 24h";"1 000,00";"1 000,00";"2,50 %"
09/07/2021;09/07/2021;12/07/2021;"Avance à 24h";600,00;600,00;"2,50 %"
29/06/2021;29/06/2021;30/06/2021;"Avance à 24h";"2 000,00";"2 000,00";"2,50 %"
28/10/2020;28/10/2020;02/11/2020;"Avance à 24h";"1 500,00";"1 500,00";"2,50 %"
30/09/2020;30/09/2020;01/10/2020;"Avance à 24h";500,00;500,00;"2,50 %"
30/09/2020;30/09/2020;01/10/2020;"Avance à 24h";"1 200,00";"1 200,00";"2,50 %"
04/08/2020;04/08/2020;05/08/2020;"Avance à 24h";300,00;300,00;"2,50 %"
04/08/2020;04/08/2020;05/08/2020;"Avance à 24h";330,00;330,00;"2,50 %"
17/06/2020;17/06/2020;18/06/2020;"Avance à 24h";"5 400,00";"5 400,00";"3,00 %"
16/06/2020;16/06/2020;17/06/2020;"Avance à 24h";"1 550,00";"1 550,00";"3,00 %"
22/04/2020;22/04/2020;23/04/2020;"Avance à 24h";"1 000,00";"1 000,00";"3,00 %"
20/04/2020;20/04/2020;21/04/2020;"Avance à 24h";"1 300,00";"1 300,00";"3,00 %"
16/03/2020;16/03/2020;17/03/2020;"Avance à 24h";890,00;890,00;"3,25 %"
