"Encours des interventions"
"En millions de dirhams
"
Jours;"Avances à 7 jours";"Reprises de Liquidité à 7 jours";"Avance à 24h";"Facilités de dépôts à 24h";"Pension livrée à LT";"Prêt garantis à LT";"SWAP de change";Total
30/03/2025;"66 460,00";-;-;-;"49 770,00";"31 978,00";-;"           148 208,00"
29/03/2025;"66 460,00";-;-;-;"49 770,00";"31 978,00";-;"           148 208,00"
28/03/2025;"66 460,00";-;-;-;"49 770,00";"31 978,00";-;"           148 208,00"
27/03/2025;"66 460,00";-;-;-;"49 770,00";"31 978,00";-;"           148 208,00"
26/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
25/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
24/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
23/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
22/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
21/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
20/03/2025;"61 740,00";-;-;-;"49 770,00";"31 978,00";-;"           143 488,00"
19/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
18/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
17/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
16/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
15/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
14/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
13/03/2025;"66 020,00";-;-;-;"47 017,00";"34 731,00";-;"           147 768,00"
12/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
11/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
10/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
09/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
08/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
07/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
06/03/2025;"66 110,00";-;-;-;"47 017,00";"34 731,00";-;"           147 858,00"
05/03/2025;"65 170,00";-;-;-;"47 017,00";"34 731,00";-;"           146 918,00"
04/03/2025;"65 170,00";-;-;-;"47 017,00";"34 731,00";-;"           146 918,00"
03/03/2025;"65 170,00";-;-;-;"47 017,00";"34 731,00";-;"           146 918,00"
02/03/2025;"65 170,00";-;-;-;"47 017,00";"34 731,00";-;"           146 918,00"
01/03/2025;"65 170,00";-;-;-;"47 017,00";"34 731,00";-;"           146 918,00"
