"Marché monétaire interbancaire"
"En millions de dirhams"
Date;"Taux Moyen Pondéré";"Volume JJ";Encours
27/03/2025;"2,250 %";6847;9907
26/03/2025;"2,250 %";3638;7823
25/03/2025;"2,250 %";3481;8116
24/03/2025;"2,250 %";1828;6463
23/03/2025;"2,250 %";-;6116
22/03/2025;"2,250 %";-;6116
21/03/2025;"2,250 %";1481;6116
20/03/2025;"2,250 %";2010;6645
19/03/2025;"2,270 %";1251;5406
18/03/2025;"2,500 %";1780;5935
17/03/2025;"2,500 %";1316;5471
16/03/2025;"2,500 %";-;5294
15/03/2025;"2,500 %";-;5294
14/03/2025;"2,500 %";1049;5294
13/03/2025;"2,500 %";2056;5301
12/03/2025;"2,500 %";3250;6725
11/03/2025;"2,500 %";3096;6571
10/03/2025;"2,500 %";3086;6441
09/03/2025;"2,500 %";-;6549
08/03/2025;"2,500 %";-;6549
07/03/2025;"2,500 %";2944;6549
06/03/2025;"2,500 %";3325;6930
05/03/2025;"2,500 %";3424;8934
04/03/2025;"2,500 %";5088;10598
03/03/2025;"2,500 %";3998;9948
02/03/2025;"2,500 %";-;7770
01/03/2025;"2,500 %";-;7770
28/02/2025;"2,500 %";3470;7770
27/02/2025;"2,500 %";2821;6556
26/02/2025;"2,500 %";2595;6150
25/02/2025;"2,500 %";3460;7015
24/02/2025;"2,500 %";3733;7158
23/02/2025;"2,500 %";-;5147
22/02/2025;"2,500 %";-;5147
21/02/2025;"2,500 %";1917;5147
20/02/2025;"2,500 %";1994;5224
19/02/2025;"2,500 %";1438;4873
18/02/2025;"2,500 %";1685;5120
17/02/2025;"2,500 %";2381;6016
16/02/2025;"2,500 %";-;5840
15/02/2025;"2,500 %";-;5840
14/02/2025;"2,500 %";1395;5840
13/02/2025;"2,500 %";1428;5873
12/02/2025;"2,500 %";1247;5477
11/02/2025;"2,500 %";1093;5323
10/02/2025;"2,500 %";1132;4832
09/02/2025;"2,500 %";-;4747
08/02/2025;"2,500 %";-;4747
07/02/2025;"2,500 %";1337;4747
06/02/2025;"2,500 %";888;4378
05/02/2025;"2,501 %";4516;8521
04/02/2025;"2,500 %";2710;6715
03/02/2025;"2,500 %";2831;6906
02/02/2025;"2,500 %";-;8751
01/02/2025;"2,500 %";-;8751
31/01/2025;"2,500 %";4166;8751
30/01/2025;"2,500 %";4364;8799
29/01/2025;"2,500 %";3000;8545
28/01/2025;"2,500 %";2868;8413
27/01/2025;"2,500 %";3396;7491
26/01/2025;"2,500 %";-;8126
25/01/2025;"2,500 %";-;8126
24/01/2025;"2,500 %";4161;8126
23/01/2025;"2,500 %";3646;7721
22/01/2025;"2,500 %";2779;6684
21/01/2025;"2,500 %";3258;7173
20/01/2025;"2,500 %";1777;5692
19/01/2025;"2,500 %";-;5523
18/01/2025;"2,500 %";-;5523
17/01/2025;"2,500 %";1708;5523
16/01/2025;"2,500 %";2505;6390
15/01/2025;"2,500 %";2293;6063
14/01/2025;"2,500 %";-;7006
13/01/2025;"2,500 %";3586;7006
12/01/2025;"2,500 %";-;5689
11/01/2025;"2,500 %";-;5689
10/01/2025;"2,500 %";2074;5689
09/01/2025;"2,500 %";1693;5058
08/01/2025;"2,500 %";2649;5664
07/01/2025;"2,500 %";1728;4543
06/01/2025;"2,500 %";1480;4295
05/01/2025;"2,502 %";-;4855
04/01/2025;"2,502 %";-;4855
03/01/2025;"2,502 %";2455;4855
02/01/2025;"2,500 %";4722;7302
01/01/2025;"2,530 %";-;7572
31/12/2024;"2,530 %";5282;7572
30/12/2024;"2,500 %";3903;6393
29/12/2024;"2,500 %";-;7361
28/12/2024;"2,500 %";-;7361
27/12/2024;"2,500 %";4891;7361
26/12/2024;"2,500 %";5952;8422
25/12/2024;"2,500 %";974;4094
24/12/2024;"2,500 %";1180;3900
23/12/2024;"2,500 %";1685;4405
22/12/2024;"2,500 %";-;4755
21/12/2024;"2,500 %";-;4755
20/12/2024;"2,500 %";1910;4755
19/12/2024;"2,500 %";2068;4563
18/12/2024;"2,500 %";2414;5744
17/12/2024;"2,750 %";3846;6736
16/12/2024;"2,750 %";3745;6635
15/12/2024;"2,750 %";-;5174
14/12/2024;"2,750 %";-;5174
13/12/2024;"2,750 %";2344;5174
12/12/2024;"2,750 %";2269;5099
11/12/2024;"2,750 %";2350;6505
10/12/2024;"2,750 %";1600;5825
09/12/2024;"2,750 %";2652;6742
08/12/2024;"2,750 %";-;7021
07/12/2024;"2,750 %";-;7021
06/12/2024;"2,750 %";2811;7021
05/12/2024;"2,750 %";2610;6820
04/12/2024;"2,750 %";4140;6380
03/12/2024;"2,750 %";2431;4671
02/12/2024;"2,750 %";3125;5365
01/12/2024;"2,750 %";-;6018
30/11/2024;"2,750 %";-;6018
29/11/2024;"2,750 %";3338;6018
