"Opérations principales"
"En millions de dirhams"
"Date de l'appel d'offres";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
26/03/2025;27/03/2025;03/04/2025;"Avances à 7 jours";"66 460,00";"66 460,00";"2,25 %"
19/03/2025;20/03/2025;27/03/2025;"Avances à 7 jours";"61 740,00";"61 740,00";"2,25 %"
12/03/2025;13/03/2025;20/03/2025;"Avances à 7 jours";"66 020,00";"66 020,00";"2,50 %"
05/03/2025;06/03/2025;13/03/2025;"Avances à 7 jours";"66 110,00";"66 110,00";"2,50 %"
26/02/2025;27/02/2025;06/03/2025;"Avances à 7 jours";"65 170,00";"65 170,00";"2,50 %"
19/02/2025;20/02/2025;27/02/2025;"Avances à 7 jours";"60 690,00";"60 690,00";"2,50 %"
12/02/2025;13/02/2025;20/02/2025;"Avances à 7 jours";"67 040,00";"67 040,00";"2,50 %"
05/02/2025;06/02/2025;13/02/2025;"Avances à 7 jours";"64 400,00";"64 400,00";"2,50 %"
29/01/2025;30/01/2025;06/02/2025;"Avances à 7 jours";"59 720,00";"59 720,00";"2,50 %"
22/01/2025;23/01/2025;30/01/2025;"Avances à 7 jours";"55 110,00";"55 110,00";"2,50 %"
15/01/2025;16/01/2025;23/01/2025;"Avances à 7 jours";"57 430,00";"57 430,00";"2,50 %"
08/01/2025;09/01/2025;16/01/2025;"Avances à 7 jours";"53 350,00";"53 350,00";"2,50 %"
02/01/2025;02/01/2025;09/01/2025;"Avances à 7 jours";"60 220,00";"60 220,00";"2,50 %"
25/12/2024;26/12/2024;02/01/2025;"Avances à 7 jours";"72 620,00";"72 620,00";"2,50 %"
18/12/2024;19/12/2024;26/12/2024;"Avances à 7 jours";"63 460,00";"63 460,00";"2,50 %"
