"Cours de référence"
"<a href='https://apihelpdesk.centralbankofmorocco.ma/docs/services/extcoursbkamapi/operations/5aa966fceb93cf8a3cd89525' target='_blank'>Service API Cours de référence</a>"
;28/03/2025;27/03/2025
Devises;Moyen;Moyen
"1 EURO";10,4076;10,3903
"1 DOLLAR U.S.A.";9,6607;9,6317
"1 DOLLAR CANADIEN";6,7445;6,7398
"1 LIVRE STERLING";12,496;12,464
"1 LIVRE GIBRALTAR";12,496;12,464
"1 FRANC SUISSE";10,942;10,904
"100 COURONNES DANOISES";139,48;139,27
"100 COURONNES SUEDOISES";96,094;95,961
"100 COURONNES NORVEGIENNES";91,965;91,575
"1 RIYAL SAOUDIEN";2,5754;2,5677
"1 DINAR KOWEITIEN";31,325;31,229
"1 DIRHAM E.A.U.";2,6302;2,6223
"1 RIYAL QATARI";2,6502;2,6420
"1 DINAR BAHREINI";25,626;25,547
"100 YENS JAPONAIS";6,4077;6,3859
"10 DINARS ALGERIENS";0,7218;0,7195
"1 DINAR TUNISIEN";3,1064;3,0978
"1 DINAR LIBYEN";1,9998;1,9935
"100 OUGUIYAS MAURITANIENNES";24,414;24,341
"1 RIYAL OMANI";25,095;25,019
"1 REAL BRÉSILIEN";1,6808;1,6770
"1 ROUBLE RUSSE";0,1152;0,1147
"1 ROUPIE INDIENNE";0,1130;0,1123
"1 YUAN CHINOIS";1,3299;1,3256
"1 DOLLAR AUSTRALIEN";6,0816;6,0791
"1 RAND SUD-AFRICAIN";0,5320;0,5281
"1 LIVRE TURQUE";0,2542;0,2534
"1 LIVRE EGYPTIENNE";0,1910;0,1904
"1 DINAR JORDANIEN";13,621;13,587
"100 FRANC CFA";1,5866;1,5840
